編號,原文,臺灣用語,大陸用語,其他用語,
472,base charge,基極電荷,,,
473,base charging process,基極充電過程,,,
474,base charging speed,基極充電速率,,,
475,base cluster,基底叢集,,,
476,base color,基色；底色,,,
477,base communication processor	,基地通訊處理機,,,
478,base communications,基地通信,,,
479,base complement,基數補數,,,
480,base contact,基極接點,,,
481,base conversion,基底轉換,,,
482,base coupled logic circuit,基極耦合邏輯電路,,,
483,base current,基極電流,,,
484,base current source,基極電流源,,,
485,base data,基本資料,,,
486,base data processing installation	,基本資料處理裝備,,,
487,base data source definition,基本資料源定義,,,
488,base diffusion,基極擴散,,,
489,base displacement addressing system,基址位移定址系統,,,
490,base earth,基極接地,,,
491,base electrode,基極,,,
492,base element,基本元素,基本單元,,
493,base group	,基群；基底群,,,
494,base image,基底影像,,,
495,base item,基本項,,,
496,base layer,基本層,,,
497,base line drift,基線漂移,,,
498,base load,基極負載,,,
499,base locator linkage,基址定位鏈接,,,
500,base mass storage volume,基本大量儲存卷,,,
501,base memory,基記憶體,,,
502,base memory address,基底記憶體位址,,,
503,base metal,無價值金屬；基層金屬,,,
504,base mode link control,基模鏈接控制,,,
505,base node,基本節點,,,
506,base notation,基本符號,,,
507,base number,基數,基數；基礎號,,
508,base of stack register,堆疊暫存器基址,,,
509,base operand address,基本運算元位址,,,
510,base operand specifier,基本運算元說明符,,,
511,base order,基本訂單,,,
512,base page,基頁,基頁 ,,
513,base page addressing,基頁定址,,,
514,base page select,基頁選擇,,,
515,base parameter,基參數,,,
516,base point,基點,,,
517,base price,基本價格,,,
518,base priority,基本優先,基本優先級 ,,
519,base radix,基本數基,,,
520,base rate,基本比率,,,
521,base reference potential,基極參考電位,,,
522,base reference voltage,基極參考電壓,,,
523,base region,基極區；基本區域,,,
524,base register,基底暫存器,基址寄存器 ,,
525,base relation,基底關係,,,
526,base relative addressing,基址相對定址,,,
527,base resistance,基極電阻,,,
528,base resource units,基本資源單位,,,
529,base saturation voltage,基極飽和電壓,,,
530,base segment,基底片段,,,
531,base set,基本集合,,,
532,base sheet resistivity,基區薄層電阻率,,,
533,base spreading resistance,基極擴展電阻,,,
534,base station,基地站；基站,,,
535,base storage pool,基本集用場,,,
536,base table,基本表,基表 ,,
537,base terminal,基底終端機,,,
538,base thick,基底厚度,,,
539,base time,基本時間,,,
540,base type,基底型式,,,
541,base unit price,基本單位價格,,,
542,base volume,基卷,,,
543,base width,基底寬度,,,
544,base(address)register,基址暫存器	,基址寄存器,,
545,baseband assignment,基頻指定,,,
546,baseband attenuation,基頻衰減,,,
547,baseband coaxial system,基頻同軸系統,,,
548,baseband LAN,基頻區域網路（LAN）,基帶局[域]網 ,,
549,baseband modem,基頻數據機,,,
550,baseband receive terminal,基頻接收終端,,,
551,baseband send terminal,基頻發送終端,,,
552,baseband signal,基頻信號,,,
553,baseband signalling,基頻發訊,,,
554,baseband system,基頻系統,,,
555,baseband to baseband,基頻對基頻,,,
556,baseband transmission,基頻傳輸,基帶傳輸 ,,
557,baseband twisted pair system,雙絞線系統,,,
558,baseband	,基頻帶；基頻,,,
559,base-collector junction,基極集接面,,,
560,based integer,帶基整數,,,
561,based notation,基本記數法,,,
562,based number,帶基數,,,
563,based storage allocation,基本儲存分配,,,
564,based storage area,基本儲存區,,,
565,based variable,基底變數,,,
566,base-emitter barrier capacitance,基射極間隔離電容,,,
567,base-emitter saturation voltage,基射極間飽和電壓,,,
568,base-emitter voltage,基射極間電壓,,,
569,basegram	,（由）基地（轉發的）電文,,,
570,baseline,基線,基線 ,,
571,baseline angle,基線角,,,
572,baseline axis,基線軸,,,
573,baseline configuration management,基線組態管理,,,
574,baseline correction,基線校正,,,
575,baseline design,基線設計,,,
576,baseline direction,基線方向,,,
577,baseline extent,基線範圍,,,
578,baseline increment,基線增量,,,
579,baseline network,基線網路,基准網絡 ,,
580,baseline offset,基線偏置,,,
581,baseline sequential axis,基線順序軸,,,
582,base-minus-one's complement,基減一補數,,,
583,base-mode,基本方式,,,
584,baseplate,底座,,,
585,base-plus-displacement address,基址加位移量位址,,,
586,BASIC,BASIC程式語言；培基語言,BASIC語言 ,,
587,basic access,基本存取,,,
588,basic access level,基本存取層次,,,
589,basic access method	,基本存取方法,,,
590,basic activity subset,基本活動子集合,,,
591,basic additional teleprocessing support	,基本附加電傳處理支援,,,
592,basic additional teleprocessing system	,基本附加電傳處理系統,,,
593,basic address,基本位址,,,
594,basic address register,基本位址暫存器,,,
595,basic architecture model,基本架構模型,,,
596,basic assemble program,基本組合程式,,,
597,basic assembler language,基本組合程式語言,,,
598,basic assembler program	,基本組合程式,,,
599,basic assurance test	,基本保證測試,,,
600,basic attribute,基本屬性,,,
601,basic autocoder,基本自動編碼器,,,
602,basic batch program,基本批次程式,,,
603,basic batch user,基本批次使用者,,,
604,basic block,基本塊,基本塊 ,,
605,basic building block,基本構建塊,,,
606,basic business language	,基本商用語言,,,
607,basic call control,基本呼叫控制,,,
608,basic character set,基本字元集,,,
609,basic Chinese character set,基本中文字集,,,
610,basic COBOL batch program,基本COBOL批次程式,,,
611,basic code,基本碼,,,
612,basic coding,基本編碼,,,
613,basic combined subset,基本組合子集,,,
614,basic command,基本命令,,,
615,basic command interpreter,基本命令解譯器,,,
616,BASIC committee,BASIC委員會,,,
617,basic communication access method	,基本通信存取方法,,,
618,basic communications support	,基本通信支援；基本通訊支援,,,
619,BASIC compiler,BASIC編譯程式,,,
620,basic component,基本元件,基礎部件 ,,
621,BASIC construction,BASIC構造,,,
622,basic control,基本控制,,,
623,basic control code	,基本控制碼,,,
624,basic control memory	,基本控制記憶體,,,
625,basic control mode	,基本控制模式,,,
626,basic control monitor	,基本控制監督器,,,
627,basic control program	,基本控制程式,,,
628,basic control system	,基本控制系統,,,
629,basic control word	,基本控制字,,,
630,basic controller,基本控制器,,,
631,basic counter unit	,基本計數器單元,,,
632,basic crypto analysis course	,基本密碼分析課程,,,
633,basic current switch circuit,基本電流開關電硌,,,
634,basic data,基本資料,,,
635,basic data exchange	,基本資料交換,,,
636,basic data management	,基本資料管理,,,
637,basic data structure symbol,基本資料結構符號,,,
638,basic data type,基本資料類型,,,
639,basic debugger command,基本除錯器命令,,,
640,basic debugging tool,基本除錯工具,,,
641,basic device unit	,基本裝置單元,,,
642,basic direct access method	,基本直接存取法,,,
643,basic disc filling system	,基本磁碟填充系統,,,
644,basic disc operating system,基本磁碟作業系統,,,
645,basic disk command,基本磁碟命令,,,
646,basic display file	,基本顯示檔案,,,
647,basic display unit	,基本顯示單元,,,
648,basic document,基本文件,,,
649,basic edit,基本編輯,,,
650,basic editor monitor	,基本編輯器監視器,,,
651,basic encoding rules,基本編碼規則,,,
652,basic encoding unit	,基本編碼單元,,,
653,BASIC environment,BASIC語言環境,,,
654,basic equalizer,基本均衡器,,,
655,basic error recovery class,基本錯誤復原級,,,
656,BASIC evaluation,BASIC求值,,,
657,basic exchange diskette,基本交換磁片,,,
658,basic exchange format,基本交換格式,,,
