編號,原文,臺灣用語,大陸用語,其他用語,
320,electrical machine,電機,,,
321,electrical measurement,電子測量,,,
322,electrical network,電子網路,,,
323,electrical network analysis,電子網路分析,,,
324,electrical picture signal,電子圖象信號,,,
325,electrical potential,電位,,,
326,electrical power control unit,電源控制裝置,,,
327,electrical readout,電子讀出,,,
328,electrical research association,電子研究協會,,,
329,electrical reset,電子重置,,,
330,electrical schematic diagram,電路簡圖,,,
331,electrical signal,電子信號,,,
332,electrical tough pitch,電韌距,,,
333,electrical transmission,電子傳輸,,,
334,electrically alterable memory,電子可改寫記憶體,,,
335,electrically alterable read only memory,電子可改寫唯讀記憶體,,,
336,electrically alterable ROM,電子可改唯讀記憶體,,,
337,electrically driven duplicator,電子驅動複製機,,,
338,electrically erasable programmable read only memory,電子可抹除可程式化唯讀記憶體,,,
339,electrically erasable read only memory,電子可抹除唯讀記憶體,,,
340,electrically erasable ROM,電可抹除唯讀記憶體,,,
341,electrically erasable,電可抹除,,,
342,electrically powered telephone,電力電話,,,
343,electrically programmable read only memory,電子可程式唯讀記憶體,,,
344,electrically-erasable programmable ROM,電可抹除唯讀記憶體,電擦除可編程只讀存儲器 ,,
345,electricity,電；電學,,,
346,electrization,電子化,,,
347,electro chromic device,電裝置,,,
348,electro interference,電子干擾,,,
349,electro jet,電子束,,,
350,electro lens,電透鏡,,,
351,electro lithography,電子平版印刷術,,,
352,electro radiation,電輻射,,,
353,electro sensitive,電敏,,,
354,electro switching system,電子交換系統,,,
355,electro-acoustic tablet,電聲板,,,
356,electro-acoustic transducer,電聲轉換器,,,
357,electro-beam accessed memory,電子束存取記憶體,,,
358,electro-beam fabrication,電子束加工,,,
359,electro-beam valve,電子束閥,,,
360,electro-camera,電子照像機,,,
361,electrocardiogram processing,心電圖處理,,,
362,electrocardiography,心電圖學,,,
363,electrocardiology,心電學,,,
364,electrochromeric display,電場色彩顯示器,,,
365,electrochromic display,電變色顯示器,電致變色顯示器 ,,
366,electrocircuit,電路,,,
367,electro-communication,電子通訊,,,
368,electrodata center,電子資料處理中心,,,
369,electrodata machine,電子資料處理機,,,
370,electrode,電極,,,
371,electrodeposition,電附著,,,
372,electrodynamic multiplier,電動乘法器,,,
373,electrodynamics,電動力學,,,
374,electroencephalogram,腦電圖,,,
375,electroencephalography,腦電圖學,,,
376,electroencephalology,腦電學,,,
377,electrograph,電圖；電子記錄器,,,
